file_name,emiten_code,year,status,error_message,total_pages,text_pages,image_pages,ocr_pages,direct_extract_pages,total_extracted_chars,ocr_input_tokens,ocr_output_tokens,ocr_estimated_cost_usd,processing_time_seconds,timestamp_processed
ARSA.L_2023.pdf,ARSA.L,2023,success,,74,74,0,0,74,175612,0,0,0.0,2.35,2026-03-17T01:52:19.033682
INDX_2022.pdf,INDX,2022,success,,110,102,8,8,102,379786,9032,5524,0.010544,72.65,2026-03-17T01:53:29.336096
INET_2023.pdf,INET,2023,success,,280,259,21,21,259,715765,23719,1581,0.00830125,112.85,2026-03-17T01:54:09.531857
IPCM_2023.pdf,IPCM,2023,success,,484,464,20,20,464,1630171,22580,2305,0.0091025,115.06,2026-03-17T01:54:14.302704
IRSX_2022.pdf,IRSX,2022,success,,165,159,6,6,159,778501,6774,6028,0.0107355,48.03,2026-03-17T01:54:17.372148
IPCC_2023.pdf,IPCC,2023,success,,714,695,19,19,695,2172036,21451,1801,0.00806425,122.35,2026-03-17T01:54:19.066276
JAYA_2024.pdf,JAYA,2024,success,,256,244,12,12,244,727871,13548,359,0.0039255,47.31,2026-03-17T01:54:56.846939
KIJA_2023.pdf,KIJA,2023,success,,432,418,14,14,418,1238623,15806,9831,0.018698,98.22,2026-03-17T01:55:55.589115
KMTR_2023.pdf,KMTR,2023,success,,298,290,8,8,290,1017561,9032,6174,0.011519,61.03,2026-03-17T01:55:57.880635
JRPT_2022.pdf,JRPT,2022,success,,271,250,21,21,250,995804,23709,6316,0.01540125,126.91,2026-03-17T01:56:21.214250
KIOS_2023.pdf,KIOS,2023,success,,205,179,26,26,179,618833,29354,10262,0.0227315,135.36,2026-03-17T01:56:34.590948
KOKA_2023.pdf,KOKA,2023,success,,157,147,10,10,147,431091,11290,840,0.0040825,56.26,2026-03-17T01:56:54.344137
KONI_2022.pdf,KONI,2022,success,,136,125,11,11,125,357724,12383,6335,0.01259825,75.47,2026-03-17T01:57:36.687790
KOCI_2023.pdf,KOCI,2023,success,,223,204,19,19,204,706810,21451,7532,0.01666075,102.25,2026-03-17T01:57:37.843899
MLIA_2022.pdf,MLIA,2022,success,,269,260,9,9,260,801114,10161,1419,0.00466875,50.49,2026-03-17T01:58:28.504936
LAJU_2023.pdf,LAJU,2023,success,,247,226,21,21,226,579202,23709,5434,0.01407825,100.51,2026-03-17T01:58:34.856906
KRYA_2023.pdf,KRYA,2023,success,,288,264,24,24,264,600492,27096,6925,0.0171615,140.71,2026-03-17T01:58:55.299442
MPOW_2023.pdf,MPOW,2023,success,,86,79,7,7,79,268178,7903,5065,0.00957325,47.74,2026-03-17T01:59:22.601777
MPOW_2022.pdf,MPOW,2022,success,,131,115,16,16,115,473178,18064,5074,0.012127,78.02,2026-03-17T01:59:46.523755
LOPI_2024.pdf,LOPI,2024,success,,267,246,21,21,246,783802,23709,6504,0.01568325,136.27,2026-03-17T01:59:52.961273
NINE_2023.pdf,NINE,2023,success,,139,138,1,1,138,401379,1129,785,0.00145975,7.9,2026-03-17T01:59:54.422992
MUTU_2023.pdf,MUTU,2023,success,,221,210,11,11,210,773859,12407,1523,0.00538625,57.7,2026-03-17T02:00:20.307347
PLIN_2022.pdf,PLIN,2022,success,,330,322,8,8,322,1065311,9032,2121,0.0054395,47.55,2026-03-17T02:00:42.080135
PAMG_2022.pdf,PAMG,2022,success,,220,212,8,8,212,735353,9032,5327,0.0102485,53.14,2026-03-17T02:00:46.098528
MTMH_2023.pdf,MTMH,2023,success,,294,277,17,17,277,1024918,19193,14075,0.02591075,112.82,2026-03-17T02:00:48.116098
PORT_2023.pdf,PORT,2023,success,,99,96,3,3,96,604190,3387,4880,0.00816675,35.59,2026-03-17T02:00:55.895589
PPGL_2022.pdf,PPGL,2022,success,,256,243,13,13,243,718965,14677,1174,0.00543025,67.78,2026-03-17T02:01:49.862762
PPGL_2024.pdf,PPGL,2024,success,,276,262,14,14,262,765575,15806,284,0.0043775,65.62,2026-03-17T02:01:53.741933
PPRO_2024.pdf,PPRO,2024,success,,478,467,11,11,467,1746033,12419,5964,0.01205075,78.37,2026-03-17T02:02:14.269015
PPGL_2023.pdf,PPGL,2023,success,,269,249,20,20,249,753041,22580,7840,0.017405,107.59,2026-03-17T02:02:33.689103
PRDA_2023.pdf,PRDA,2023,success,,382,370,12,12,370,1259168,13548,2099,0.0065355,60.09,2026-03-17T02:03:33.981135
PRAY_2022.pdf,PRAY,2022,success,,328,309,19,19,309,1059511,21451,7192,0.01615075,114.78,2026-03-17T02:03:44.644145
PRDA_2022.pdf,PRDA,2022,success,,390,366,24,24,366,1208061,27096,8196,0.019068,128.23,2026-03-17T02:04:22.500405
